match_id,date,team,goals_for,goals_against,outcome,team_size
M20251230,2025-12-30,Bibs,3,8,L,7
M20251230,2025-12-30,Non-Bibs,8,3,W,7
M20260106,2026-01-06,Bibs,8,5,W,7
M20260106,2026-01-06,Non-Bibs,5,8,L,7
M20260113,2026-01-13,Bibs,6,5,W,7
M20260113,2026-01-13,Non-Bibs,5,6,L,7
M20260120,2026-01-20,Bibs,3,7,L,7
M20260120,2026-01-20,Non-Bibs,7,3,W,7
M20260127,2026-01-27,Bibs,7,3,W,7
M20260127,2026-01-27,Non-Bibs,3,7,L,7
M20260202,2026-02-02,Bibs,7,5,W,7
M20260202,2026-02-02,Non-Bibs,5,7,L,7
M20260210,2026-02-10,Bibs,3,6,L,8
M20260210,2026-02-10,Non-Bibs,6,3,W,8
M20260324,2026-03-24,Bibs,4,6,L,7
M20260324,2026-03-24,Non-Bibs,6,4,W,7
M20260401,2026-04-01,Bibs,5,2,W,8
M20260401,2026-04-01,Non-Bibs,2,5,L,8
M20260407,2026-04-07,Bibs,9,7,W,8
M20260407,2026-04-07,Non-Bibs,7,9,L,8
M20260414,2026-04-14,Bibs,2,1,W,7
M20260414,2026-04-14,Non-Bibs,1,2,L,7
M20260421,2026-04-21,Bibs,5,5,D,7
M20260421,2026-04-21,Non-Bibs,5,5,D,7
M20260429,2026-04-29,Bibs,4,4,D,8
M20260429,2026-04-29,Non-Bibs,4,4,D,8
M20260505,2026-05-05,Bibs,6,5,W,8
M20260505,2026-05-05,Non-Bibs,5,6,L,8
M20260512,2026-05-12,Bibs,5,4,W,7
M20260512,2026-05-12,Non-Bibs,4,5,L,7
M20260519,2026-05-19,Bibs,6,9,L,7
M20260519,2026-05-19,Non-Bibs,9,6,W,7
M20260609,2026-06-09,Bibs,4,13,L,7
M20260609,2026-06-09,Non-Bibs,13,4,W,7
M20260616,2026-06-16,Bibs,9,9,D,7
M20260616,2026-06-16,Non-Bibs,9,9,D,7
M20260625,2026-06-25,Bibs,18,19,L,5
M20260625,2026-06-25,Non-Bibs,19,18,W,5
M20260630,2026-06-30,Bibs,7,3,W,7
M20260630,2026-06-30,Non-Bibs,3,7,L,7
M20260707,2026-07-07,Bibs,8,7,W,7
M20260707,2026-07-07,Non-Bibs,7,8,L,7
